Website Link,Extracted Emails
https://www.aaltoee.fi/en/,info@aaltoee.fi
https://aspanouschoolofenglish.edu.gr/,info@aspanouschoolofenglish.edu.gr
http://abes.ac.in/,webadmin@abes.ac.in
http://abingdon-witney.ac.uk/,enquiries@abingdon-witney.ac.ukCan
https://www.abingdonhouseschool.co.uk/,purleyinfo@abingdonhouseschool.co.uk
https://aplus.ua/,info@aplus.ua
https://www.acesacademies.co.uk/,"recruitment@acesmat.uk, office@gca.acesmat.uk, recruitment@acesmat.uk, jobs@hbk.acesmat.uk, recruitment@acesmat.uk, vdavis@cromwellacademy.comVisit, 420536communications@hinchbk.cambs.sch.ukVisit, office@godmanchesterbridge.co.ukVisit, office@godmanchestercommunity.co.ukVisit, office@spaldwickschool.org.ukVisit"
https://phoenixlearningcare.co.uk/,"referrals@plcl.org.ukGeneral, hello@plcl.org.ukRecruitment, recruitment@plcl.org.uk, referrals@plcl.org.ukWe"
https://www.acs-schools.com/hillingdon,"C, a, n, n, o, t,  , c, o, n, n, e, c, t,  , t, o,  , h, o, s, t,  , w, w, w, ., a, c, s, -, s, c, h, o, o, l, s, ., c, o, m, :, 4, 4, 3,  , s, s, l, :, d, e, f, a, u, l, t,  , [, N, e, t, w, o, r, k,  , i, s,  , u, n, r, e, a, c, h, a, b, l, e, ]"
https://www.addapters.org/,"enable@addapters.org, terapias@addapters.org, enable@addapters.org, enable@addapters.orgterapias"
https://aclessex.com/,Emaillifelong.learning@essex.gov.ukFind
https://www.agatemomentumtrust.org/,"C, a, n, n, o, t,  , c, o, n, n, e, c, t,  , t, o,  , h, o, s, t,  , w, w, w, ., a, g, a, t, e, m, o, m, e, n, t, u, m, t, r, u, s, t, ., o, r, g, :, 4, 4, 3,  , s, s, l, :, d, e, f, a, u, l, t,  , [, N, e, t, w, o, r, k,  , i, s,  , u, n, r, e, a, c, h, a, b, l, e, ]"
https://flagman-online.kz/,online@flagmanschool.kz
https://www.ammanu.edu.jo/,Public@ammanu.edu.jo
http://alatoo.edu.kg/,info@alatoo.edu.kg
https://www.aldersbrook.redbridge.sch.uk/,0210admin.aldersbrook@redbridge.gov.uk
https://afu.uz/en/index,"info@alfraganusuniversity.uz, ALFRAGANUS@exat.uz"
https://alpleicester.co.uk/,leicester@alpschools.org
http://www.luovi.fi/,"info@luovi.fi, info@luovi.fi"
http://www.os-antonajanse.si/,"kadri@os-antonajanse.si, info@os-antonajanse.si"
https://arksoane.org/,info@arksoane.org
https://apsclementtown.org/,"C, a, n, n, o, t,  , c, o, n, n, e, c, t,  , t, o,  , h, o, s, t,  , a, p, s, c, l, e, m, e, n, t, t, o, w, n, ., o, r, g, :, 4, 4, 3,  , s, s, l, :, d, e, f, a, u, l, t,  , [, N, e, t, w, o, r, k,  , i, s,  , u, n, r, e, a, c, h, a, b, l, e, ]"
http://www.ashlea.notts.sch.uk/,reception@ashlea.notts.sch.ukCopyright
https://awfazglobalschool.co/,4667-7090info@awfazglobalschool.co
https://baegam-h.goeyi.kr/baegam-h/main.do,"C, a, n, n, o, t,  , c, o, n, n, e, c, t,  , t, o,  , h, o, s, t,  , b, a, e, g, a, m, -, h, ., g, o, e, y, i, ., k, r, :, 4, 4, 3,  , s, s, l, :, d, e, f, a, u, l, t,  , [, N, e, t, w, o, r, k,  , i, s,  , u, n, r, e, a, c, h, a, b, l, e, ]"
https://baimaiphli.co.th/,info@baimaiphli.co.th
http://www.battlelangton.e-sussex.sch.uk/,"office@battlelangton.e-sussex.sch.uk, office@battlelangton.e-sussex.sch.uk, senco@battlelangton.e-sussex.sch.uk"
http://https//www.beaumontcollege.ac.uk,"C, a, n, n, o, t,  , c, o, n, n, e, c, t,  , t, o,  , h, o, s, t,  , h, t, t, p, s, :, 8, 0,  , s, s, l, :, d, e, f, a, u, l, t,  , [, T, e, m, p, o, r, a, r, y,  , f, a, i, l, u, r, e,  , i, n,  , n, a, m, e,  , r, e, s, o, l, u, t, i, o, n, ]"
https://grange.beds.sch.uk/,"rachel.timms@biltt.org, paul.rowley@biltt.org, grange@biltt.orgGrange"
http://www.beitshvidler.org.uk/,admissions@beitshvidler.org.uk
https://www.berlin-international-school.de/,gf@private-kant-schulen.de.Wann
http://bernoulli.com.br/,"4, 0, 3, ,,  , m, e, s, s, a, g, e, =, ', F, o, r, b, i, d, d, e, n, ', ,,  , u, r, l, =, U, R, L, (, ', h, t, t, p, :, /, /, b, e, r, n, o, u, l, l, i, ., c, o, m, ., b, r, /, ', )"
https://wearebeyond.org.uk/,"4, 0, 3, ,,  , m, e, s, s, a, g, e, =, ', F, o, r, b, i, d, d, e, n, ', ,,  , u, r, l, =, U, R, L, (, ', h, t, t, p, s, :, /, /, w, e, a, r, e, b, e, y, o, n, d, ., o, r, g, ., u, k, /, ', )"
https://www.biss.no/,"office.gausel@biss.no, office.sentrum@biss.no, office.preschool@biss.no, admissions@biss.no"
http://www.bloombreedschools.org/,Harcourtinfo@bloombreedschools.org
http://www.boomberoepsonderwijs.nl/,service@boomberoepsonderwijs.nlAlgemeenOver
http://brrsd.org/,"aiachini@brrsd.k12.nj.us, mmunley@brrsd.k12.nj.us, dfonder@brrsd.k12.nj.us"
https://colegiosbritanicos.com/en/british-school-alzira/,info@colegiosbritanicos.com
https://www.bhetrust.co.uk/,"info@bhetrust.co.uk, finance@bhetrust.co.ukModern"
https://www.broadleafpt.co.uk/home,2801enquiry@broadleafpt.co.ukCONNECT
https://www.brooklands.ac.uk/,info@brooklands.ac.uk
https://broerupskolen.aula.dk/,"hell@vejen.dk, broerupskolen@vejen.dk"
https://www.bhcps.efspt.org/,office@bhcps.efspt.org
https://www.uni-corvinus.hu/,"kozadat@uni-corvinus.hu, ithelpdesk@uni-corvinus.hu, press@uni-corvinus.hu"
https://www.burntwoodschool.com/,info@burntwoodschool.com
https://www.bc.fi/,info@bc.fiCopyright
http://www.cbis.ng/,"C, a, n, n, o, t,  , c, o, n, n, e, c, t,  , t, o,  , h, o, s, t,  , w, w, w, ., c, b, i, s, ., n, g, :, 8, 0,  , s, s, l, :, d, e, f, a, u, l, t,  , [, N, a, m, e,  , o, r,  , s, e, r, v, i, c, e,  , n, o, t,  , k, n, o, w, n, ]"
http://www.camelsdale.w-sussex.sch.uk/,office@camelsdale.w-sussex.sch.uk
https://www.canarywharfcollege.co.uk/,"eastferryoffice@canarywharfcollege.co.uk, glenworthoffice@canarywharfcollege.co.uk, secondary@canarywharfcollege.co.uk"
https://cavc.ac.uk/en,info@cavc.ac.uk
https://castlehillprimary.net/,admin@castlehillprimary.net
http://www.cedarsworld.sch.ng/,"info@cedarsworld.sch.ng, tcwmontessori@gmail.com, cedarsint@yahoo.com"
https://cep.nis.edu.kz/?lang=en,info@cep.nis.edu.kz
https://www.chalkwellhall.co.uk/,555-555-5555mymail@mailservice.com
http://www.charterhouseonline.co.uk/,info@charterhouseonline.co.uk
https://www.chelmervalleyhighschool.co.uk/,school@chelmer.essex.sch.uk
http://www.ccagh.com/,"info@ccagh.comContact, info@ccagh.com"
http://www.copc.ac.uk/,info@copc.ac.ukGet
http://www.valkeakoski.fi/,"valkeakosken.kaupunki@valkeakoski.fi, etunimi.sukunimi@valkeakoski.fi"
http://www.colegsirgar.ac.uk/,"', u, t, f, -, 8, ',  , c, o, d, e, c,  , c, a, n, ', t,  , d, e, c, o, d, e,  , b, y, t, e,  , 0, x, 8, b,  , i, n,  , p, o, s, i, t, i, o, n,  , 1, :,  , i, n, v, a, l, i, d,  , s, t, a, r, t,  , b, y, t, e"
https://www.colegionshuertopamplona.com/,secretaria@nshuerto.org
http://www.caib.es/govern/organigrama/area.do?lang=es&coduo=1785,contacteserveitie@ibeducacio.eu
http://cis.dk/,info@cis.dk
https://schools.cornwall.gov.uk/Services/6330,sensorysupportservice@cornwall.gov.uk
https://www.cradlehill.e-sussex.sch.uk/,office@cradlehill.e-sussex.sch.uk
http://www.crosthwaiteprimary.net/,"Jessopmjessop@crosthwaiteprimary.netBusiness, Pickeringapickering@crosthwaiteprimary.netSpecial, cgunby@crosthwaiteprimary.netJulie, jgarner@crosthwaiteprimary.netCrosthwaite"
https://www.crosthwaiteprimary.net/home,"Jessopmjessop@crosthwaiteprimary.netBusiness, Pickeringapickering@crosthwaiteprimary.netSpecial, cgunby@crosthwaiteprimary.netJulie, jgarner@crosthwaiteprimary.netCrosthwaite"
https://crticeeeixo.wixsite.com/crtic-aveiro,"crtic_aveiro@aeeixo.pt, ebieixo@ebie.ptbottom"
https://www.cvoscala.be/,info@cvoscala.be
http://cwmffrwdoerprimaryschool.co.uk/,"C, a, n, n, o, t,  , c, o, n, n, e, c, t,  , t, o,  , h, o, s, t,  , c, w, m, f, f, r, w, d, o, e, r, p, r, i, m, a, r, y, s, c, h, o, o, l, ., c, o, ., u, k, :, 8, 0,  , s, s, l, :, d, e, f, a, u, l, t,  , [, N, a, m, e,  , o, r,  , s, e, r, v, i, c, e,  , n, o, t,  , k, n, o, w, n, ]"
https://dane.daneteach.fr/,ce.dane@ac-nancy-metz.fr
https://www.ddletb.ie/,"info@ddletb.ie, info@ddletb.ie"
https://www.deanvalley.cheshire.sch.uk/,admin@deanvalley.cheshire.sch.uk
http://www.deped.gov.ph/,"4, 0, 3, ,,  , m, e, s, s, a, g, e, =, ', F, o, r, b, i, d, d, e, n, ', ,,  , u, r, l, =, U, R, L, (, ', h, t, t, p, s, :, /, /, w, w, w, ., d, e, p, e, d, ., g, o, v, ., p, h, /, ', )"
https://dongsinms.djsch.kr/main.do,dongsinm@korea.kr
https://dundeeandangus.ac.uk/,"heretohelp@dundeeandangus.ac.uk, heretohelp@dundeeandangus.ac.uk"
https://www.sciencefestival.co.uk/,"data@scifest.co.uk, marketing@scifest.co.uk"
https://educat.study/,"info@educat.study, info@educat.study, info@educat.study, info@educat.study, info@educat.study, info@educat.study"
https://etec.gov.sa/,"C, a, n, n, o, t,  , c, o, n, n, e, c, t,  , t, o,  , h, o, s, t,  , e, t, e, c, ., g, o, v, ., s, a, :, 4, 4, 3,  , s, s, l, :, d, e, f, a, u, l, t,  , [, N, e, t, w, o, r, k,  , i, s,  , u, n, r, e, a, c, h, a, b, l, e, ]"
https://www.eani.org.uk/services/education-information-solutions-programme-edis,"edisinfo@eani.org.uk, info@eani.org.uk"
http://educationsouthwest.org.uk/,admin@educationsouthwest.org.uk
https://www.osao.fi/,"kirjaamo@osao.fi, info@osao.fi"
https://www.skolazrak.cz/,podpora@vitalex.cz
https://eleqtroom.hu/,eleqtroom@gmail.com
http://www.eon-tdi.com/,"C, a, n, n, o, t,  , c, o, n, n, e, c, t,  , t, o,  , h, o, s, t,  , w, w, w, ., e, o, n, -, t, d, i, ., c, o, m, :, 8, 0,  , s, s, l, :, d, e, f, a, u, l, t,  , [, N, a, m, e,  , o, r,  , s, e, r, v, i, c, e,  , n, o, t,  , k, n, o, w, n, ]"
http://eosbteknikkolej..com/,"e, n, c, o, d, i, n, g,  , w, i, t, h,  , ', i, d, n, a, ',  , c, o, d, e, c,  , f, a, i, l, e, d,  , (, U, n, i, c, o, d, e, E, r, r, o, r, :,  , l, a, b, e, l,  , e, m, p, t, y,  , o, r,  , t, o, o,  , l, o, n, g, )"
http://fareham-academy.co.uk/,enquiries@fareham-academy.co.uk
